run_type,run_index,accuracy,time_seconds,total_tokens,cost_usd,num_turns,num_subagents,total_messages,lead_agent_messages,subagent_messages,total_errors,total_tool_calls,total_subagent_calls,websearch_calls,webfetch_calls,read_calls,task_calls,bash_calls,subagent_similarity,subagent_success_avg,subagents_completed,subagents_completed_pct,clustering_mean,clustering_std,num_clusters,correctness,confidence
ww-eval-multiagent,6,0,113.714,802,0.3421211000000001,4,1,38,6,32,2,17,1,10,6,0,1,0,1.0,0.720508337020874,1,1.0,0.058823529411764705,,1,0.0,100.0
ww-eval-multiagent,7,1,106.609,2144,0.57343115,6,2,58,8,50,0,27,2,17,8,0,2,0,0.5942856073379517,0.7610665559768677,2,1.0,0.05555555555555555,0.018518518518518517,2,10.0,100.0
ww-eval-multiagent,8,0,322.917,2372,1.27438695,9,3,139,11,128,3,67,3,43,21,0,3,0,0.8468947410583496,0.6176736752192179,2,0.6666666666666666,0.2537313432835821,0.32722554532149944,3,3.0,100.0
ww-eval-multiagent,9,0,257.237,1081,0.51256425,4,1,48,6,42,3,22,1,18,3,0,1,0,1.0,0.7274795174598694,1,1.0,0.045454545454545456,,1,5.0,100.0
ww-eval-multiagent,10,0,271.071,2220,0.9753227500000007,6,2,104,8,96,9,50,2,27,21,0,2,0,0.9974283576011658,0.8799108564853668,2,1.0,0.03,0.01,2,3.0,100.0
ww-eval-multiagent,11,1,44.452,852,0.14153849999999998,4,1,22,6,16,0,9,1,5,3,0,1,0,1.0,0.6620697975158691,1,1.0,0.1111111111111111,,1,10.0,100.0
ww-eval-multiagent,12,1,67.079,708,0.12721675,4,1,20,6,14,0,8,1,3,4,0,1,0,1.0,0.7323646545410156,1,1.0,0.125,,1,10.0,100.0
ww-eval-multiagent,13,1,38.23,397,0.09282075,4,1,20,6,14,0,8,1,3,4,0,1,0,1.0,0.8241685628890991,1,1.0,0.125,,1,10.0,100.0
ww-eval-multiagent,14,1,142.505,959,0.31866050000000007,4,1,38,6,32,0,17,1,12,4,0,1,0,1.0,0.7778034210205078,1,1.0,0.058823529411764705,,1,10.0,100.0
ww-eval-multiagent,15,0,262.277,787,0.3687225,4,1,40,6,34,3,18,1,14,3,0,1,0,1.0,0.8299575448036194,1,1.0,0.05555555555555555,,1,0.0,100.0
ww-eval-multiagent,16,1,117.093,1129,0.20928415,4,1,34,6,28,1,15,1,7,7,0,1,0,1.0,0.8621337413787842,1,1.0,0.06666666666666667,,1,10.0,100.0
ww-eval-multiagent,17,0,195.29,1076,0.6363623500000001,4,1,76,6,70,6,36,1,25,10,0,1,0,1.0,0.7918341159820557,1,1.0,0.027777777777777776,,1,0.0,100.0
ww-eval-multiagent,18,0,93.132,360,0.39325635,4,1,36,6,30,1,16,1,12,3,0,1,0,1.0,0.7118926048278809,1,1.0,0.0625,,1,0.0,100.0
ww-eval-multiagent,19,0,82.611,642,0.26084365,4,1,34,6,28,2,15,1,10,4,0,1,0,1.0,0.8067923784255981,1,1.0,0.06666666666666667,,1,8.0,100.0
ww-eval-multiagent,20,1,60.493,657,0.16753655,4,1,18,6,12,0,7,1,4,2,0,1,0,1.0,0.6574313044548035,1,1.0,0.14285714285714285,,1,10.0,100.0
ww-eval-multiagent,21,1,30.346,405,0.06711719999999999,4,1,14,6,8,0,5,1,2,2,0,1,0,1.0,0.621404230594635,1,1.0,0.2,,1,10.0,100.0
ww-eval-multiagent,22,0,73.908,561,0.14613815000000002,4,1,24,6,18,0,10,1,5,4,0,1,0,1.0,0.8875003457069397,1,1.0,0.1,,1,0.0,100.0
ww-eval-multiagent,23,0,107.448,994,0.30231874999999997,4,1,42,6,36,0,19,1,14,4,0,1,0,1.0,0.7936236262321472,1,1.0,0.05263157894736842,,1,0.0,100.0
ww-eval-multiagent,24,1,49.028,539,0.03854475,4,1,22,6,16,2,9,1,2,5,0,1,1,1.0,0.5386923551559448,1,1.0,0.1111111111111111,,1,10.0,100.0
